kind,stem_id,other_stem,standard_id,concept_id,node_id,score,detail
node_no_concept,TIM,,,,TIM-0008,,Measure the duration of an activity with a timing tool.
node_no_concept,TIM,,,,TIM-0013,,Convert smaller units of time duration to larger units.
node_no_concept,WHO,,,,WHO-0002,,Determine the value represented by each digit of a number.
node_no_concept,WHO,,,,WHO-0003,,Read and write numbers in standard form.
node_no_concept,WHO,,,,WHO-0004,,Read and write numbers in word form.
node_no_concept,WHO,,,,WHO-0005,,Read and write numbers in expanded form by using addition.
node_no_concept,WHO,,,,WHO-0006,,Read and write numbers in expanded form by using multiplication and addition.
node_no_concept,WHO,,,,WHO-0008,,"Represent, compose, and decompose whole numbers flexibly by using place value units."
node_no_concept,WHO,,,,WHO-0010,,Compare whole numbers by using place value.
node_no_concept,WHO,,,,WHO-0011,,Order whole numbers by using place value.
node_no_concept,WHO,,,,WHO-0012,,Compare decimal numbers by using place value.
node_no_concept,WHO,,,,WHO-0016,,Describe the multiplicative relationships between non-adjacent place value units using standard form notation for whole-number powers of 10.
node_no_concept,WHO,,,,WHO-0017,,Write powers of 10 by using whole-number exponents .
node_no_concept,WHO,,,,WHO-0018,,Describe the multiplicative relationships between non-adjacent place value units by using exponent notation for whole number powers of 10.
node_no_concept,WHO,,,,WHO-0019,,Multiply and divide by powers of 10 and their multiples by using the multiplicative relationships between place value units).
