Rows where neither concept_standards nor the category route named any
stem (§5 rule 6). Ruled: surfaced here, not chased (session brief §8).

952 rows.

band   sheet                        code                
None   Texas                        TX.A2.7D
None   Texas                        TX.A2.7E
None   Texas                        TX.A2.7F
None   Texas                        TX.A2.7H
None   Texas                        TX.G.10A
None   Texas                        TX.G.10B
None   Texas                        TX.G.11A
None   Texas                        TX.G.11B
None   Texas                        TX.G.11C
None   Texas                        TX.G.11D
None   Texas                        TX.G.12A
None   Texas                        TX.G.12B
None   Texas                        TX.G.12C
None   Texas                        TX.G.12D
None   Texas                        TX.G.13B
None   Texas                        TX.G.2C
None   Texas                        TX.G.3A
None   Texas                        TX.G.3B
None   Texas                        TX.G.3C
None   Texas                        TX.G.3D
None   Texas                        TX.G.4A
None   Texas                        TX.G.4B
None   Texas                        TX.G.4C
None   Texas                        TX.G.4D
None   Texas                        TX.G.5A
None   Texas                        TX.G.5D
None   Texas                        TX.G.6B
None   Texas                        TX.G.6C
None   Texas                        TX.G.6E
None   Texas                        TX.G.7A
None   Texas                        TX.G.7B
None   Texas                        TX.G.8A
None   Texas                        TX.G.8B
None   Texas                        TX.G.9A
PK5    CCSS                         1.MD.A.1
PK5    CCSS                         1.MD.A.2
PK5    CCSS                         1.MD.C.4
PK5    CCSS                         1.NBT.B.2.a
PK5    CCSS                         1.NBT.B.2.b
PK5    CCSS                         1.NBT.B.2.c
PK5    CCSS                         2.MD.A.1
PK5    CCSS                         2.MD.A.2
PK5    CCSS                         2.MD.A.4
PK5    CCSS                         2.MD.D.10
PK5    CCSS                         2.MD.D.9
PK5    CCSS                         2.NBT.A.1.b
PK5    CCSS                         2.NBT.B.6
PK5    CCSS                         3.MD.B.3
PK5    CCSS                         3.MD.B.4
PK5    CCSS                         3.MD.C.5
PK5    CCSS                         3.MD.C.5.a
PK5    CCSS                         3.MD.C.5.b
PK5    CCSS                         3.MD.C.6
PK5    CCSS                         3.MD.C.7
PK5    CCSS                         3.MD.C.7.a
PK5    CCSS                         3.MD.C.7.b
PK5    CCSS                         3.MD.C.7.c
PK5    CCSS                         3.MD.C.7.d
PK5    CCSS                         3.NF.A.2
PK5    CCSS                         3.NF.A.2.a
PK5    CCSS                         3.NF.A.2.b
PK5    CCSS                         3.NF.A.3
PK5    CCSS                         3.NF.A.3.a
PK5    CCSS                         3.NF.A.3.b
PK5    CCSS                         3.NF.A.3.c
PK5    CCSS                         3.OA.B.6
PK5    CCSS                         4.G.A.3
PK5    CCSS                         4.MD.A.1
PK5    CCSS                         4.MD.B.4
PK5    CCSS                         4.MD.C.5.b
PK5    CCSS                         4.NBT.B.4
PK5    CCSS                         4.NF.B.3
PK5    CCSS                         4.NF.B.3.b
PK5    CCSS                         4.NF.B.3.c
PK5    CCSS                         4.NF.B.3.d
PK5    CCSS                         4.OA.B.4
PK5    CCSS                         5.MD.B.2
PK5    CCSS                         5.MD.C.3
PK5    CCSS                         5.MD.C.3.a
PK5    CCSS                         5.MD.C.3.b
PK5    CCSS                         5.MD.C.4
PK5    CCSS                         5.MD.C.5
PK5    CCSS                         5.MD.C.5.a
PK5    CCSS                         5.MD.C.5.b
PK5    CCSS                         5.MD.C.5.c
PK5    CCSS                         5.NF.A.2
PK5    CCSS                         5.NF.B.4.b
PK5    CCSS                         5.NF.B.5
PK5    CCSS                         5.NF.B.5.a
PK5    CCSS                         5.NF.B.5.b
PK5    CCSS                         5.NF.B.6
PK5    CCSS                         5.NF.B.7
PK5    CCSS                         5.NF.B.7.a
PK5    CCSS                         5.OA.A.2
